population,householdsize,agePct12t29,agePct65up,medFamInc,PctPopUnderPov,MedRentPctHousInc,TotalPctDiv,PctLargHouseFam,pctUrban,PctHousOccup,ViolentCrimesPerPop
11980,3.1,21.44,11.33,79584,1.96,316,4.47,4.81,100.0,98.37,0.0
23123,2.82,21.3,17.18,55323,3.98,205,5.42,4.25,100.0,97.15,0.0
29344,2.43,25.88,10.28,42112,4.75,150,12.55,2.97,100.0,95.68,0.0
16656,2.4,25.2,17.57,26501,17.23,114,12.91,3.93,0.0,91.19,0.0
11245,2.76,40.53,12.65,24018,29.99,160,9.73,5.23,0.0,92.45,0.0
140494,2.45,32.89,13.26,27705,17.78,134,13.04,3.08,100.0,91.81,0.0
28700,2.6,27.41,14.42,50394,4.01,361,7.64,5.08,100.0,95.11,0.0
59459,2.45,27.93,14.6,28901,17.98,139,14.94,3.85,100.0,92.22,0.0
74111,2.46,35.16,8.58,34269,13.68,146,8.64,2.59,100.0,95.07,0.0
103590,2.62,34.55,13.12,24058,28.68,177,12.97,6.7,100.0,87.57,6.57
31601,2.54,28.57,14.26,29509,15.61,142,13.53,3.66,100.0,87.33,0.0
25158,2.89,28.82,9.44,28567,19.02,190,16.57,12.43,100.0,92.42,0.0
40641,2.54,36.83,11.5,27655,23.91,136,11.95,2.99,0.0,91.27,0.0
57140,2.74,28.17,13.38,24442,27.71,135,12.74,7.86,100.0,90.0,10.81
13132,2.53,25.03,14.57,32055,6.84,132,7.32,3.61,0.0,96.65,0.0
30954,2.69,25.43,10.45,43154,6.22,193,9.75,3.71,100.0,94.85,0.0
45532,2.85,27.51,9.76,48757,2.89,282,8.38,4.08,96.51,96.21,0.0
180038,2.62,26.68,11.54,39652,14.37,252,11.12,6.98,100.0,95.13,5.88
14869,2.67,20.33,12.38,58871,2.35,199,8.64,2.47,100.0,97.14,0.0
261721,2.6,32.78,4.58,41620,8.21,157,12.77,4.07,100.0,89.26,7.87
50889,2.77,26.94,4.77,59421,3.36,157,9.09,3.3,100.0,93.6,0.0
7322564,2.6,27.46,11.62,34360,19.29,295,11.77,9.16,100.0,94.23,6.91
26436,3.34,37.22,4.13,28870,9.67,177,9.33,7.26,100.0,95.73,0.0
12183,2.36,26.87,11.28,40745,6.07,196,11.94,1.9,0.0,90.47,0.0
16023,2.63,23.09,13.65,39691,5.75,137,11.99,3.74,100.0,93.31,0.0
24692,2.54,25.81,14.62,31007,8.72,121,11.54,3.36,0.0,94.31,0.0
